sample_key,step17_review_priority_score,step17_review_priority_tier,step17_review_reason,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,classification_case_step15,zt_error_analysis_category_step15,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,sintering_method,sintering_checked,record_checked,source_files_step16,thresholds_in_high_zt_error_file_step15,manual_review_priority_score_step15,manual_review_priority_tier_step15,sintering_check_reason_step15,n_rows_step14,n_pf_eval_rows_step14,n_zt_calc_eval_rows_step14,n_zt_obs_eval_rows_step14,pf_mape_step14,pf_log_rmse_step14,zt_pred_vs_calc_log_rmse_step14,zt_pred_vs_obs_log_rmse_step14,zt_pred_vs_obs_quality_step14,zt_pred_vs_calc_quality_step14,SID,year,tau_eff_step12,tau_eff_unit_step12,tau_eff_mode_step12,fitting_source_actual_step10,needs_sintering_check_later_step14,pf_error_level_sample_step15,zt_obs_error_level_sample_step15,zt_calc_error_level_sample_step15,zt_error_direction_sample_step15,zt_error_analysis_note_step15,needs_manual_review_step15,needs_sintering_check_later_step15,pf_zt_problem_reason_step15,doi_url
10.1021_ja4121583__sample_6132,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/ja4121583,,6132,(PbTe)0.86(PbSe)0.07(PbS)0.07,unknown,p,"estimated from Seebeck sign: positive=22, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=22, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.121871,0.1137030450233985,0.2013352034615763,0.3847737195390062,0.4352550221298076,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,22,2,1,1,0.3431154962945005,0.4339459839187038,0.5713810163336928,0.4857651431384302,moderate,moderate,3508,,1.8821491603298808,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/ja4121583
10.1021_acsaem.9b00057__sample_39736,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/acsaem.9b00057,,39736,Ge0.93Te0.07Te1.005I0.03,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.116983,0.6737312385827611,0.722199810013034,0.1213783459941706,0.1363334675886556,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,4,2,2,0.1880392438754519,0.2221188987367444,0.1699664613403508,0.1670445204935635,excellent,excellent,31911,,2.496414474287635,relative_scale,empirical_group_baseline,,yes,excellent,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/acsaem.9b00057
10.1038_ncomms13713__sample_33445,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1038/ncomms13713,,33445,Sn0.94SeBi0.06,unknown,n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,2.085641,0.8447092586783576,2.017069628833167,1.209528671336725,1.0242024465146626,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,135,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,9,8,8,0.9742209499979044,0.8343375676316461,0.8318236687701888,0.8939451343143479,poor,poor,27933,,0.0499682212473455,relative_scale,empirical_group_baseline,,yes,moderate,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1038/ncomms13713
10.1038_ncomms13713__sample_33474,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1038/ncomms13713,,33474,Sn0.94SeBi0.06,unknown,n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,2.06743,0.8961320404525395,2.340524030512344,1.0926803175624773,1.4010448795092785,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,135,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,10,8,6,1.1898022473128993,0.9771678536292412,1.039540880166906,0.9599511080076404,poor,poor,27933,,0.0449690066443395,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1038/ncomms13713
10.1016_j.nanoen.2018.09.025__sample_43730,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1016/j.nanoen.2018.09.025,,43730,Sn0.96Pb0.01Zn0.03Se,unknown,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.046429,0.7748444813453762,2.027655217936993,0.2707361807298956,0.2641484923945531,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,90,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,14,10,6,6,0.8297446908483577,0.7490872469821481,0.5144983440100935,0.526236139368123,moderate,moderate,32098,,0.0796719498329164,relative_scale,empirical_group_baseline,,yes,moderate,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1016/j.nanoen.2018.09.025
10.1002_adfm.201806613__sample_41581,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1002/adfm.201806613,,41581,Ge0.95Bi0.05Te1.025,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.974289,0.1601214305083957,0.2615323299868919,0.4113020377091437,0.3877566474614397,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,5,1,1,0.2442293896906467,0.3345293065977827,0.4906254406386749,0.5298420243249728,moderate,moderate,31615,,3.447998410163899,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1002/adfm.201806613
10.1016_j.nanoen.2018.09.025__sample_43729,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1016/j.nanoen.2018.09.025,,43729,Sn0.97Pb0.01Zn0.02Se,unknown,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.921429,0.4691363472483598,1.832502879027999,0.6727275467664744,0.9038880237932102,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,90,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,14,7,6,6,1.5478528865115055,1.1188947684190405,0.9408228350798278,0.8695976525099027,poor,poor,32098,,0.0481568183449459,relative_scale,empirical_group_baseline,,yes,poor,moderate,moderate,under_predicted,high_zt_false_negative,yes,yes,large PF error; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1016/j.nanoen.2018.09.025
10.1021_jacs.7b11875__sample_43929,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/jacs.7b11875,,43929,Sn0.925Se,unknown,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.918817,0.6296535455360153,1.9502729117030888,0.431534850022864,0.4322961142769381,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,90,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,14,5,3,3,0.4257460854038845,0.8981275129767992,0.7615809681052971,0.7538902493639735,moderate,moderate,32056,,0.0748509234948335,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/jacs.7b11875
10.1039_c5ta01667c__sample_7224,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1039/c5ta01667c,,7224,Cu1.97S,unknown,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.89418,0.1733118333599964,0.2107504195074948,0.8817679745023771,0.1684921148346385,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,False,False,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,90,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,19,6,2,1,0.432232578830367,0.6091164345677306,0.2347463484040206,2.135106267412344,poor,good,2812,,0.0529618668805655,relative_scale,empirical_group_baseline,,yes,good,moderate,excellent,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1039/c5ta01667c
10.1007_s11664-014-3507-5__sample_14354,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1007/s11664-014-3507-5,,14354,In0.1Ge0.9Te,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.822857,0.9871869847409536,1.1113670099043529,0.4584396994712401,0.1117362887837444,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,7,1,1,0.1698577707386156,0.1844417507322056,0.118486607987072,0.6133008604237762,moderate,excellent,2631,,2.020645523915161,relative_scale,empirical_group_baseline,,yes,excellent,good,excellent,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1007/s11664-014-3507-5
10.1021_acsaem.9b00057__sample_39738,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/acsaem.9b00057,,39738,Ge0.97Bi0.03Te1.015,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.728111,0.7672298355113123,0.7467669132169898,0.034847135126698,0.1289617070540069,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,6,2,1,0.3212538053084238,0.3394894809853487,0.1862751680483033,0.0354687809934312,excellent,excellent,31911,,5.787923731937339,relative_scale,empirical_group_baseline,,yes,good,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/acsaem.9b00057
10.1021_ic5010243__sample_20821,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/ic5010243,,20821,(GeTe)80(AgSbTe)20,unknown,p,"estimated from Seebeck sign: positive=42, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=42, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.71947,0.7112186769210426,0.7587613868134382,0.5513162976026689,0.1264770389320066,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,41,6,2,2,0.0114238790859622,0.159667102187072,0.1561160591760582,19.687908950847483,poor,excellent,1185,,1.739943729793986,relative_scale,empirical_group_baseline,,yes,excellent,moderate,excellent,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/ic5010243
10.1002_aenm.201601450__sample_3194,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1002/aenm.201601450,,3194,PbTe0.85Se0.15Na0.02,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.712166,0.4333909967632904,0.5487952585120652,0.2753126691767213,0.2102865503278353,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,14,3,1,1,0.2214641791250381,0.2506528200924102,0.2360851212545511,0.3220149849801393,good,good,18492,,2.008678850309027,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1002/aenm.201601450
